Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
01/16/2023,Dabjam,361.11,Hagenes-Roberts,Demimbu,0853 Northridge Crossing,CA,64603,United States,2733086356,Automotive
01/20/2023,Realcube,271.1,Fritsch-Cronin,InnoZ,752 Prairie Rose Court,CA,72733,United States,8179215475,Books
02/03/2023,Skinte,345.38,"Feil, Schmitt and Abbott",Gigazoom,2891 Stone Corner Place,MO,58628,United States,2188526225,Sports
01/16/2023,Vimbo,417.89,Goldner-Ferry,Talane,09612 Linden Crossing,OK,38647,United States,4275913190,Garden
01/18/2023,Einti,188.02,Rogahn-Balistreri,Roombo,31246 Lien Circle,NJ,32765,United States,2557554562,Movies
01/12/2023,Zoomlounge,108.18,Murray Inc,Quimba,405 Wayridge Avenue,CA,82924,United States,9711079922,Electronics
01/16/2023,Blogspan,93.01,"Becker, Pagac and Kshlerin",Kare,64815 Brentwood Center,TX,36123,United States,8905177478,Games
01/29/2023,Oyoyo,207.84,"Kuhn, Crooks and Gerhold",Cogilith,534 Corry Park,DC,11487,United States,7773459135,Grocery
01/26/2023,Oyoyo,318.09,Prosacco and Sons,Roomm,6 Dexter Road,FL,59128,United States,7768378672,Industrial
01/10/2023,Yombu,423.53,Bernhard Inc,Eimbee,784 Jackson Way,TX,51575,United States,2022792453,Clothing
01/29/2023,Zooxo,423.54,Gleichner Group,Avavee,3 Ohio Place,CO,98189,United States,7659924159,Tools
01/28/2023,Zoomcast,329.57,Senger-Howe,Cogilith,7932 Artisan Center,WV,22455,United States,6770248557,Grocery
02/01/2023,Oodoo,314.26,Dietrich Inc,Pixoboo,329 Holmberg Park,WI,19595,United States,9296800506,Games
01/18/2023,Yoveo,114.18,"Kuphal, Murphy and Waelchi",Riffwire,90625 Hauk Pass,MO,63453,United States,3005192159,Baby
02/03/2023,Shufflester,161.91,Hermann-Tromp,Avamm,90866 Merchant Street,KS,88058,United States,2172623708,Toys
01/28/2023,Bluejam,195.95,Macejkovic-Hammes,Jaxworks,54 Buell Center,PA,60005,United States,9912346929,Outdoors
01/19/2023,Trudoo,429.5,Howell-Cartwright,Thoughtworks,74 Utah Avenue,MO,72403,United States,3098430528,Computers
01/12/2023,Kazio,181.94,Hagenes-Kiehn,Kimia,226 Almo Junction,GA,88847,United States,9469918708,Movies
01/11/2023,Centizu,189.66,"Quigley, Schinner and Harber",Kaymbo,6806 Pierstorff Terrace,DE,70857,United States,6149350676,Sports
01/10/2023,Rhynoodle,488.88,Cassin Group,Mynte,94 Rusk Road,IL,53658,United States,6535702310,Games
02/03/2023,Blogspan,90.5,"Johnston, Barrows and Collier",Fanoodle,4668 Stephen Avenue,CA,26578,United States,5008148770,Tools
01/22/2023,Ozu,478.82,Rogahn-Connelly,Realfire,2656 Oak Valley Junction,TX,49744,United States,5074971879,Electronics
01/26/2023,Vipe,449.6,"O'Connell, Goyette and Parker",Vinder,7999 Killdeer Pass,FL,32404,United States,9852171250,Home
01/28/2023,Dynabox,294.16,Keebler-Rath,Dablist,12 Tomscot Way,TX,22216,United States,6194429424,Books
01/17/2023,Fadeo,24.15,Ferry Inc,Dabtype,414 Messerschmidt Center,WA,29765,United States,1462016906,Outdoors
01/23/2023,Zoozzy,459.38,Blick-Harris,Plambee,112 Mallard Alley,NY,48195,United States,4323533132,Industrial
01/29/2023,Rhybox,306.37,Abshire-Heaney,Realbuzz,0811 Division Road,VA,14358,United States,9507991681,Tools
01/31/2023,Feedbug,146.15,Hudson-Cruickshank,Edgeblab,739 Jenifer Lane,MN,33148,United States,9954868039,Books
